Vehicle_ID,Lane_Number,Frame_Number,Timestamp
14,1,24,0:00:00.800000
8,1,24,0:00:00.800000
1,1,25,0:00:00.833333
2,1,25,0:00:00.833333
3,1,25,0:00:00.833333
4,2,25,0:00:00.833333
5,2,25,0:00:00.833333
14,1,25,0:00:00.833333
8,1,25,0:00:00.833333
1,1,26,0:00:00.866667
2,1,26,0:00:00.866667
3,1,26,0:00:00.866667
4,2,26,0:00:00.866667
5,2,26,0:00:00.866667
14,1,26,0:00:00.866667
8,1,26,0:00:00.866667
1,1,27,0:00:00.900000
2,1,27,0:00:00.900000
3,1,27,0:00:00.900000
4,2,27,0:00:00.900000
5,2,27,0:00:00.900000
14,1,27,0:00:00.900000
8,1,27,0:00:00.900000
1,1,28,0:00:00.933333
2,1,28,0:00:00.933333
3,1,28,0:00:00.933333
4,2,28,0:00:00.933333
5,2,28,0:00:00.933333
14,1,28,0:00:00.933333
8,1,28,0:00:00.933333
1,1,29,0:00:00.966667
2,1,29,0:00:00.966667
3,1,29,0:00:00.966667
4,2,29,0:00:00.966667
5,2,29,0:00:00.966667
14,1,29,0:00:00.966667
8,1,29,0:00:00.966667
1,1,30,0:00:01
2,1,30,0:00:01
3,1,30,0:00:01
4,2,30,0:00:01
5,2,30,0:00:01
14,1,30,0:00:01
8,1,30,0:00:01
1,1,31,0:00:01.033333
2,1,31,0:00:01.033333
3,1,31,0:00:01.033333
4,2,31,0:00:01.033333
5,2,31,0:00:01.033333
14,1,31,0:00:01.033333
8,1,31,0:00:01.033333
1,1,32,0:00:01.066667
2,1,32,0:00:01.066667
3,1,32,0:00:01.066667
4,2,32,0:00:01.066667
5,2,32,0:00:01.066667
14,1,32,0:00:01.066667
8,1,32,0:00:01.066667
1,1,33,0:00:01.100000
2,1,33,0:00:01.100000
3,1,33,0:00:01.100000
4,2,33,0:00:01.100000
5,2,33,0:00:01.100000
14,1,33,0:00:01.100000
8,1,33,0:00:01.100000
1,1,34,0:00:01.133333
2,1,34,0:00:01.133333
3,1,34,0:00:01.133333
4,2,34,0:00:01.133333
5,2,34,0:00:01.133333
14,1,34,0:00:01.133333
8,1,34,0:00:01.133333
1,1,35,0:00:01.166667
2,1,35,0:00:01.166667
3,1,35,0:00:01.166667
4,2,35,0:00:01.166667
5,2,35,0:00:01.166667
14,1,35,0:00:01.166667
8,1,35,0:00:01.166667
1,1,36,0:00:01.200000
2,1,36,0:00:01.200000
3,1,36,0:00:01.200000
4,2,36,0:00:01.200000
5,2,36,0:00:01.200000
14,1,36,0:00:01.200000
8,1,36,0:00:01.200000
1,1,37,0:00:01.233333
2,1,37,0:00:01.233333
3,1,37,0:00:01.233333
4,2,37,0:00:01.233333
5,2,37,0:00:01.233333
14,1,37,0:00:01.233333
8,1,37,0:00:01.233333
19,3,37,0:00:01.233333
20,1,37,0:00:01.233333
1,1,38,0:00:01.266667
2,1,38,0:00:01.266667
3,1,38,0:00:01.266667
4,2,38,0:00:01.266667
5,2,38,0:00:01.266667
14,1,38,0:00:01.266667
8,1,38,0:00:01.266667
19,3,38,0:00:01.266667
20,1,38,0:00:01.266667
1,1,39,0:00:01.300000
2,1,39,0:00:01.300000
3,1,39,0:00:01.300000
4,2,39,0:00:01.300000
5,2,39,0:00:01.300000
14,1,39,0:00:01.300000
8,1,39,0:00:01.300000
19,3,39,0:00:01.300000
20,1,39,0:00:01.300000
1,1,40,0:00:01.333333
2,1,40,0:00:01.333333
3,1,40,0:00:01.333333
4,2,40,0:00:01.333333
5,2,40,0:00:01.333333
14,1,40,0:00:01.333333
8,1,40,0:00:01.333333
19,3,40,0:00:01.333333
20,1,40,0:00:01.333333
1,1,41,0:00:01.366667
2,1,41,0:00:01.366667
3,1,41,0:00:01.366667
4,2,41,0:00:01.366667
5,2,41,0:00:01.366667
14,1,41,0:00:01.366667
8,1,41,0:00:01.366667
19,3,41,0:00:01.366667
20,1,41,0:00:01.366667
1,1,42,0:00:01.400000
2,1,42,0:00:01.400000
3,1,42,0:00:01.400000
4,2,42,0:00:01.400000
5,2,42,0:00:01.400000
14,1,42,0:00:01.400000
8,1,42,0:00:01.400000
19,3,42,0:00:01.400000
20,1,42,0:00:01.400000
1,1,43,0:00:01.433333
2,1,43,0:00:01.433333
3,1,43,0:00:01.433333
4,2,43,0:00:01.433333
5,2,43,0:00:01.433333
14,1,43,0:00:01.433333
8,1,43,0:00:01.433333
19,3,43,0:00:01.433333
20,1,43,0:00:01.433333
1,1,44,0:00:01.466667
2,1,44,0:00:01.466667
3,1,44,0:00:01.466667
4,2,44,0:00:01.466667
5,2,44,0:00:01.466667
14,1,44,0:00:01.466667
8,1,44,0:00:01.466667
19,3,44,0:00:01.466667
20,1,44,0:00:01.466667
1,1,45,0:00:01.500000
2,1,45,0:00:01.500000
3,1,45,0:00:01.500000
4,2,45,0:00:01.500000
5,2,45,0:00:01.500000
14,1,45,0:00:01.500000
8,1,45,0:00:01.500000
19,3,45,0:00:01.500000
1,1,46,0:00:01.533333
2,1,46,0:00:01.533333
3,1,46,0:00:01.533333
4,2,46,0:00:01.533333
5,2,46,0:00:01.533333
14,1,46,0:00:01.533333
8,1,46,0:00:01.533333
19,3,46,0:00:01.533333
1,1,47,0:00:01.566667
2,1,47,0:00:01.566667
3,1,47,0:00:01.566667
4,2,47,0:00:01.566667
5,2,47,0:00:01.566667
14,1,47,0:00:01.566667
8,1,47,0:00:01.566667
19,3,47,0:00:01.566667
1,1,48,0:00:01.600000
2,1,48,0:00:01.600000
3,1,48,0:00:01.600000
4,2,48,0:00:01.600000
5,2,48,0:00:01.600000
14,1,48,0:00:01.600000
8,1,48,0:00:01.600000
19,3,48,0:00:01.600000
1,1,49,0:00:01.633333
2,1,49,0:00:01.633333
3,1,49,0:00:01.633333
4,2,49,0:00:01.633333
5,2,49,0:00:01.633333
14,1,49,0:00:01.633333
8,1,49,0:00:01.633333
19,3,49,0:00:01.633333
1,1,50,0:00:01.666667
2,1,50,0:00:01.666667
3,1,50,0:00:01.666667
4,2,50,0:00:01.666667
5,2,50,0:00:01.666667
14,1,50,0:00:01.666667
8,1,50,0:00:01.666667
19,3,50,0:00:01.666667
1,1,51,0:00:01.700000
2,1,51,0:00:01.700000
3,1,51,0:00:01.700000
4,2,51,0:00:01.700000
5,2,51,0:00:01.700000
14,1,51,0:00:01.700000
8,1,51,0:00:01.700000
19,3,51,0:00:01.700000
1,1,52,0:00:01.733333
2,1,52,0:00:01.733333
3,1,52,0:00:01.733333
4,2,52,0:00:01.733333
5,2,52,0:00:01.733333
14,1,52,0:00:01.733333
8,1,52,0:00:01.733333
19,3,52,0:00:01.733333
1,1,53,0:00:01.766667
2,1,53,0:00:01.766667
3,1,53,0:00:01.766667
4,2,53,0:00:01.766667
5,2,53,0:00:01.766667
14,1,53,0:00:01.766667
8,1,53,0:00:01.766667
19,3,53,0:00:01.766667
1,1,54,0:00:01.800000
2,1,54,0:00:01.800000
3,1,54,0:00:01.800000
4,2,54,0:00:01.800000
5,2,54,0:00:01.800000
14,1,54,0:00:01.800000
8,1,54,0:00:01.800000
19,3,54,0:00:01.800000
1,1,55,0:00:01.833333
2,1,55,0:00:01.833333
3,1,55,0:00:01.833333
4,2,55,0:00:01.833333
5,2,55,0:00:01.833333
14,1,55,0:00:01.833333
8,1,55,0:00:01.833333
19,3,55,0:00:01.833333
2,1,56,0:00:01.866667
3,1,56,0:00:01.866667
4,2,56,0:00:01.866667
5,2,56,0:00:01.866667
14,1,56,0:00:01.866667
8,1,56,0:00:01.866667
19,3,56,0:00:01.866667
33,1,56,0:00:01.866667
2,1,57,0:00:01.900000
3,1,57,0:00:01.900000
4,2,57,0:00:01.900000
5,2,57,0:00:01.900000
14,1,57,0:00:01.900000
8,1,57,0:00:01.900000
19,3,57,0:00:01.900000
33,1,57,0:00:01.900000
2,1,58,0:00:01.933333
3,1,58,0:00:01.933333
4,2,58,0:00:01.933333
5,2,58,0:00:01.933333
14,1,58,0:00:01.933333
8,1,58,0:00:01.933333
19,3,58,0:00:01.933333
33,1,58,0:00:01.933333
2,1,59,0:00:01.966667
3,1,59,0:00:01.966667
4,2,59,0:00:01.966667
5,2,59,0:00:01.966667
14,1,59,0:00:01.966667
8,1,59,0:00:01.966667
19,3,59,0:00:01.966667
33,1,59,0:00:01.966667
2,1,60,0:00:02
3,1,60,0:00:02
4,2,60,0:00:02
5,2,60,0:00:02
14,1,60,0:00:02
8,1,60,0:00:02
19,3,60,0:00:02
33,1,60,0:00:02
2,1,61,0:00:02.033333
3,1,61,0:00:02.033333
4,2,61,0:00:02.033333
5,2,61,0:00:02.033333
14,1,61,0:00:02.033333
8,1,61,0:00:02.033333
19,3,61,0:00:02.033333
2,1,62,0:00:02.066667
3,1,62,0:00:02.066667
4,2,62,0:00:02.066667
5,2,62,0:00:02.066667
14,1,62,0:00:02.066667
8,1,62,0:00:02.066667
19,3,62,0:00:02.066667
2,1,63,0:00:02.100000
3,1,63,0:00:02.100000
4,2,63,0:00:02.100000
5,2,63,0:00:02.100000
14,1,63,0:00:02.100000
8,1,63,0:00:02.100000
19,3,63,0:00:02.100000
2,1,64,0:00:02.133333
3,1,64,0:00:02.133333
4,2,64,0:00:02.133333
5,2,64,0:00:02.133333
14,1,64,0:00:02.133333
8,1,64,0:00:02.133333
19,3,64,0:00:02.133333
2,1,65,0:00:02.166667
3,1,65,0:00:02.166667
4,2,65,0:00:02.166667
5,2,65,0:00:02.166667
14,1,65,0:00:02.166667
8,1,65,0:00:02.166667
19,3,65,0:00:02.166667
2,1,66,0:00:02.200000
3,1,66,0:00:02.200000
4,2,66,0:00:02.200000
5,2,66,0:00:02.200000
14,1,66,0:00:02.200000
8,1,66,0:00:02.200000
19,3,66,0:00:02.200000
2,1,67,0:00:02.233333
3,1,67,0:00:02.233333
4,2,67,0:00:02.233333
5,2,67,0:00:02.233333
14,1,67,0:00:02.233333
8,1,67,0:00:02.233333
19,3,67,0:00:02.233333
2,1,68,0:00:02.266667
3,1,68,0:00:02.266667
4,2,68,0:00:02.266667
5,2,68,0:00:02.266667
14,1,68,0:00:02.266667
8,1,68,0:00:02.266667
19,3,68,0:00:02.266667
2,1,69,0:00:02.300000
3,1,69,0:00:02.300000
4,2,69,0:00:02.300000
5,2,69,0:00:02.300000
14,1,69,0:00:02.300000
8,1,69,0:00:02.300000
19,3,69,0:00:02.300000
